Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm1148550,12/5/2017,12/5/2017,,Ava DuVernay,Queen Sugar,8/24/1972
2,nm1950086,12/5/2017,12/5/2017,,Greta Gerwig,Lady Bird,8/4/1983
3,nm0001068,12/5/2017,12/5/2017,,Sofia Coppola,Lost in Translation,5/14/1971
4,nm2011696,12/6/2017,12/6/2017,,Dee Rees,Mudbound,
5,nm0000941,12/5/2017,12/5/2017,,Kathryn Bigelow,The Hurt Locker,11/27/1951
6,nm0036349,12/5/2017,12/5/2017,,Andrea Arnold,American Honey,4/5/1961
7,nm0811611,12/6/2017,12/6/2017,,So Yong Kim,Na-moo-eobs-neun san,
8,nm3034178,12/5/2017,12/5/2017,,Desiree Akhavan,Appropriate Behavior,
9,nm2197025,12/6/2017,12/6/2017,,Deniz Gamze Ergüven,Mustang,6/4/1978
10,nm0001631,12/5/2017,12/5/2017,,Sarah Polley,Dawn of the Dead,1/8/1979
11,nm0797455,12/6/2017,12/6/2017,,Floria Sigismondi,The Runaways,
12,nm0491259,12/6/2017,12/6/2017,,Mélanie Laurent,Inglourious Basterds,2/21/1983
13,nm0322128,12/6/2017,12/6/2017,,Lesli Linka Glatter,Homeland,
14,nm1392994,12/6/2017,12/6/2017,,Amma Asante,Belle,
15,nm0679662,12/6/2017,12/6/2017,,Jennifer Phang,Advantageous,
16,nm0533713,12/6/2017,12/6/2017,,Michelle MacLaren,Breaking Bad,
17,nm0708903,12/6/2017,12/6/2017,,Lynne Ramsay,You Were Never Really Here,12/5/1969
18,nm0002132,12/6/2017,12/6/2017,,Amy Heckerling,Clueless,5/7/1954
19,nm0420941,12/6/2017,12/6/2017,,Patty Jenkins,Wonder Woman,7/24/1971
20,nm4354445,12/6/2017,12/6/2017,,Anahita Ghazvinizadeh,They,
21,nm1543747,12/6/2017,12/6/2017,,Reed Morano,The Handmaid's Tale,4/15/1977
22,nm1363250,12/6/2017,12/6/2017,,Gabriela Cowperthwaite,Blackfish,
23,nm3235877,12/6/2017,12/6/2017,,Ana Lily Amirpour,A Girl Walks Home Alone at Night,7/25/1976
24,nm3317268,12/6/2017,12/6/2017,,Kitty Green,Casting JonBenet,
25,nm2262138,12/6/2017,12/6/2017,,Sarah Adina Smith,Buster's Mal Heart,
26,nm1454680,12/6/2017,12/6/2017,,Atsuko Hirayanagi,Oh Lucy!,
27,nm3622659,12/6/2017,12/6/2017,,Lucia Aniello,Rough Night,
28,nm2586324,12/6/2017,12/6/2017,,Trish Sie,Pitch Perfect 3,
29,nm2978148,12/6/2017,12/6/2017,,Sydney Freeland,Drunktown's Finest,10/29/1980
30,nm2125482,12/6/2017,12/6/2017,,Chloé Zhao,The Rider,
31,nm8635060,12/6/2017,12/6/2017,,Sabaah Folayan,Whose Streets?,
32,nm3701612,12/6/2017,12/6/2017,,Jessica M. Thompson,The Light of the Moon,3/31/1985
33,nm2151374,12/6/2017,12/6/2017,,Eliza Hittman,Beach Rats,
34,nm1128572,12/6/2017,12/6/2017,,Lake Bell,In a World...,3/24/1979
35,nm1332844,12/6/2017,12/6/2017,,Amy Berg,Deliver Us from Evil,
36,nm0081540,12/6/2017,12/6/2017,,Susanne Bier,Hævnen,4/15/1960
37,nm0001005,12/6/2017,12/6/2017,,Jane Campion,The Piano,4/30/1954
38,nm0138927,12/6/2017,12/6/2017,,Niki Caro,Whale Rider,
39,nm4469445,12/6/2017,12/6/2017,,Julia Ducournau,Grave,11/18/1983
40,nm0056006,12/6/2017,12/6/2017,,Neema Barnette,Civil Brand,12/14/1949
41,nm0537199,12/6/2017,12/6/2017,,Victoria Mahoney,Legally Blonde,
42,nm0358184,12/6/2017,12/6/2017,,Tanya Hamilton,Night Catches Us,
43,nm0133773,12/6/2017,12/6/2017,,Kat Candler,Hellion,11/11/1974
44,nm0724757,12/6/2017,12/6/2017,,Salli Richardson-Whitfield,Anacondas: The Hunt for the Blood Orchid,11/23/1967
45,nm2064480,12/6/2017,12/6/2017,,Tina Mabry,Mississippi Damned,2/9/1978
46,nm0243109,12/6/2017,12/6/2017,,Cheryl Dunye,The Watermelon Woman,5/13/1966
47,nm1312731,12/6/2017,12/6/2017,,Aurora Guerrero,Mosquita y Mari,
48,nm1991486,12/6/2017,12/6/2017,,Maryam Keshavarz,Circumstance,
49,nm5831383,12/6/2017,12/6/2017,,Amanda Marsalis,Echo Park,
50,nm2277869,12/6/2017,12/6/2017,,Marjane Satrapi,Persepolis,11/22/1969
51,nm0204466,12/6/2017,12/6/2017,,DeMane Davis,Lift,
52,nm0201969,12/6/2017,12/6/2017,,Julie Dash,Daughters of the Dust,10/22/1952
53,nm3797834,12/6/2017,12/6/2017,,Garrett Bradley,Below Dreams,
54,nm8217935,12/6/2017,12/6/2017,,Liesl Tommy,Jessica Jones,
55,nm2058108,12/6/2017,12/6/2017,,Christina Voros,The Ladies,
56,nm0335138,12/6/2017,12/6/2017,,Debra Granik,Leave No Trace,2/6/1963
57,nm2853516,12/6/2017,12/6/2017,,Leslye Headland,Bachelorette,11/26/1980
58,nm1716636,12/6/2017,12/6/2017,,Marielle Heller,The Diary of a Teenage Girl,10/1/1979
59,nm0392237,12/6/2017,12/6/2017,,Nicole Holofcener,Enough Said,3/22/1960
60,nm0448768,12/6/2017,12/6/2017,,Jennifer Kent,The Babadook,
61,nm0476201,12/6/2017,12/6/2017,,Karyn Kusama,The Invitation,3/21/1968
62,nm0001460,12/6/2017,12/6/2017,,Mimi Leder,On the Basis of Sex,1/26/1952
63,nm3652021,12/6/2017,12/6/2017,,Meera Menon,Farah Goes Bang,
64,nm0619762,12/6/2017,12/6/2017,,Mira Nair,Monsoon Wedding,10/15/1957
65,nm0636675,12/6/2017,12/6/2017,,Jehane Noujaim,Control Room,5/17/1974
66,nm0697656,12/6/2017,12/6/2017,,Gina Prince-Bythewood,Shots Fired,6/10/1969
67,nm0771054,12/6/2017,12/6/2017,,Lone Scherfig,An Education,5/2/1959
68,nm1541272,12/6/2017,12/6/2017,,Amy Seimetz,Upstream Color,11/25/1981
69,nm0813561,12/6/2017,12/6/2017,,Jill Soloway,Transparent,9/26/1965
70,nm0000149,12/6/2017,12/6/2017,,Jodie Foster,The Silence of the Lambs,11/19/1962
71,nm0044803,12/6/2017,12/6/2017,,Jamie Babbit,But I'm a Cheerleader,11/16/1970
72,nm0006969,12/6/2017,12/6/2017,,Elizabeth Banks,The Hunger Games,2/10/1974
73,nm0149446,12/6/2017,12/6/2017,,Gurinder Chadha,Bend It Like Beckham,1/10/1960
74,nm0152312,12/6/2017,12/6/2017,,Brenda Chapman,Brave,11/1/1962
75,nm0158966,12/6/2017,12/6/2017,,Lisa Cholodenko,The Kids Are All Right,6/5/1964
76,nm0170043,12/6/2017,12/6/2017,,Isabel Coixet,The Secret Life of Words,4/9/1960
77,nm0004838,12/6/2017,12/6/2017,,Martha Coolidge,Valley Girl,8/17/1946
78,nm0178886,12/6/2017,12/6/2017,,Gia Coppola,Palo Alto,1/1/1987
79,nm0215123,12/6/2017,12/6/2017,,Donna Deitch,Desert Hearts,6/8/1945
80,nm0219136,12/6/2017,12/6/2017,,Claire Denis,High Life,4/21/1946
81,nm4227232,12/6/2017,12/6/2017,,Hannah Fidell,A Teacher,10/7/1985
82,nm0267512,12/6/2017,12/6/2017,,Valerie Faris,Little Miss Sunshine,10/20/1958
83,nm0275277,12/6/2017,12/6/2017,,Shana Feste,The Greatest,8/28/1976
84,nm0281945,12/6/2017,12/6/2017,,Anne Fletcher,The Proposal,5/1/1966
85,nm0284774,12/6/2017,12/6/2017,,Anne Fontaine,Coco avant Chanel,7/15/1959
86,nm0296945,12/6/2017,12/6/2017,,Pamela Fryman,Santa Barbara,
87,nm0315298,12/6/2017,12/6/2017,,Jennifer Getzinger,Mad Men,9/26/1967
88,nm1065402,12/6/2017,12/6/2017,,Sanaa Hamri,Empire,
89,nm0361135,12/6/2017,12/6/2017,,Mia Hansen-Løve,L'avenir,2/5/1981
90,nm0366004,12/6/2017,12/6/2017,,Mary Harron,American Psycho,1/12/1953
91,nm0002140,12/6/2017,12/6/2017,,Agnieszka Holland,Pokot,11/28/1948
92,nm2581581,12/6/2017,12/6/2017,,Courtney Hunt,Frozen River,
93,nm0420982,12/6/2017,12/6/2017,,Tamara Jenkins,The Savages,5/2/1962
94,nm0421776,12/6/2017,12/6/2017,,Vicky Jenson,Shrek,
95,nm0432380,12/6/2017,12/6/2017,,Miranda July,Me and You and Everyone We Know,2/15/1974
96,nm0452319,12/6/2017,12/6/2017,,Beeban Kidron,Oranges Are Not the Only Fruit,5/2/1961
97,nm0501435,12/6/2017,12/6/2017,,Kasi Lemmons,The Silence of the Lambs,2/24/1961
98,nm1630273,12/6/2017,12/6/2017,,Phyllida Lloyd,Mamma Mia!,6/17/1957
99,nm0541562,12/6/2017,12/6/2017,,Gail Mancuso,Modern Family,7/14/1958
100,nm0829576,12/6/2017,12/6/2017,,Kristen Stewart,The Twilight Saga: Breaking Dawn - Part 1,4/9/1990
101,nm0362566,12/6/2017,12/6/2017,,Catherine Hardwicke,Twilight,10/21/1955
102,nm0001508,12/6/2017,12/6/2017,,Penny Marshall,Laverne & Shirley,10/15/1943
103,nm7635965,12/6/2017,12/6/2017,,Kat Hunt,What's Revenge,
104,nm0565063,12/6/2017,12/6/2017,,Beth McCarthy-Miller,30 Rock,9/3/1963
105,nm0589182,12/6/2017,12/6/2017,,Rebecca Miller,Maggie's Plan,9/15/1962
106,nm0950775,12/6/2017,12/6/2017,,Jennifer Yuh Nelson,Kung Fu Panda 2,5/7/1972
107,nm0001401,12/6/2017,12/6/2017,,Angelina Jolie,Maleficent,6/4/1975
108,nm4945419,12/6/2017,12/6/2017,,Stacie Passon,Concussion,
109,nm0005303,12/6/2017,12/6/2017,,Kimberly Peirce,Boys Don't Cry,9/8/1967
110,nm0688636,12/6/2017,12/6/2017,,Laura Poitras,Citizenfour,2/2/1964
111,nm0006845,12/6/2017,12/6/2017,,Sally Potter,Orlando,9/19/1949
112,nm0716980,12/6/2017,12/6/2017,,Kelly Reichardt,Wendy and Lucy,
113,nm3521871,12/6/2017,12/6/2017,,Gillian Robespierre,Obvious Child,6/29/1978
114,nm1708795,12/6/2017,12/6/2017,,Bayne Gibby,Enlightened,
115,nm0005390,12/6/2017,12/6/2017,,Patricia Rozema,Into the Forest,8/20/1958
116,nm1119645,12/6/2017,12/6/2017,,Lynn Shelton,Humpday,
117,nm0790715,12/6/2017,12/6/2017,,Penelope Spheeris,Suburbia,12/2/1945
118,nm0853380,12/6/2017,12/6/2017,,Julie Taymor,Frida,12/15/1952
119,nm0905154,12/6/2017,12/6/2017,,Lana Wachowski,The Matrix,6/21/1965
120,nm0905152,12/6/2017,12/6/2017,,Lilly Wachowski,The Matrix,12/29/1967
121,nm1356951,12/6/2017,12/6/2017,,Alice Winocour,Mustang,1/13/1976
122,nm0791723,12/6/2017,12/6/2017,,Quinn Shephard,Blame,2/28/1995
123,nm3199307,12/13/2017,12/13/2017,,Ruby Rose,Orange Is the New Black,3/20/1986
124,nm1601644,12/13/2017,12/13/2017,,Jennifer Lee,Frozen,10/22/1971
125,nm2528690,12/13/2017,12/13/2017,,Sara Colangelo,Little Accidents,
126,nm1357921,12/13/2017,12/13/2017,,Christina Choe,Nancy,
127,nm2060706,12/13/2017,12/13/2017,,Jennifer Fox,The Tale,
128,nm3141066,12/13/2017,12/13/2017,,Kimberly Reed,Dark Money,
129,nm3253001,12/13/2017,12/13/2017,,Stephanie Soechtig,Tapped,
130,nm2331256,12/13/2017,12/13/2017,,Amy Scott,Hal,
131,nm0633177,12/13/2017,12/13/2017,,Laura Nix,The Politics of Fur,
132,nm1405022,12/13/2017,12/13/2017,,Heather Lenz,Kusama: Infinity,
133,nm5221728,12/13/2017,12/13/2017,,Alexandria Bombach,On Her Shoulders,
134,nm2510874,12/13/2017,12/13/2017,,Sophie Sartain,Seeing Allred,
135,nm0343706,12/13/2017,12/13/2017,,Roberta Grossman,Homeland: Four Portraits of Native Action,
136,nm4014166,12/13/2017,12/13/2017,,Cathy Yan,Dead Pigs,
137,nm3063074,12/13/2017,12/13/2017,,Isabella Eklöf,Holiday,
138,nm0078452,12/13/2017,12/13/2017,,Valeria Bertuccelli,La reina del miedo,11/30/1969
139,nm0864306,12/13/2017,12/13/2017,,Fabiana Tiscornia,La reina del miedo,
140,nm3620652,12/13/2017,12/13/2017,,Aly Muritiba,Para Minha Amada Morta,
141,nm0848893,12/13/2017,12/13/2017,,Sandi Tan,Shirkers,8/3/1972
142,nm1009787,12/13/2017,12/13/2017,,Alexandra Shiva,How to Dance in Ohio,
143,nm2503036,12/13/2017,12/13/2017,,Lorna Tucker,"Westwood: Punk, Icon, Activist",
144,nm2332629,12/13/2017,12/13/2017,,Bernadett Tuza-Ritter,A Woman Captured,
145,nm1145920,12/13/2017,12/13/2017,,Crystal Moselle,Skate Kitchen,8/1/1980
146,nm2416507,12/13/2017,12/13/2017,,Bridey Elliott,Clara's Ghost,
147,nm2528451,12/13/2017,12/13/2017,,Josephine Decker,Thou Wast Mild and Lovely,
148,nm0819079,12/13/2017,12/13/2017,,Jordana Spiro,Night Comes On,4/12/1977
149,nm2113122,12/13/2017,12/13/2017,,Claire McCarthy,Ophelia,
150,nm3131342,12/13/2017,12/13/2017,,Elizabeth Chomko,What They Had,
151,nm1132362,12/13/2017,12/13/2017,,Lauren Greenfield,The Queen of Versailles,6/28/1966
152,nm0012501,12/13/2017,12/13/2017,,Amy Adrion,Half the Picture,
153,nm0480402,12/13/2017,12/13/2017,,Susan Lacy,American Masters,
154,nm3077054,12/13/2017,12/13/2017,,Jenny Mackenzie,Kick Like a Girl,
155,nm3167380,12/13/2017,12/13/2017,,Amanda Stoddard,Quiet Heroes,
156,nm1723335,12/13/2017,12/13/2017,,Betsy West,RBG,
157,nm3792517,12/13/2017,12/13/2017,,Julie Cohen,RBG,
158,nm0954912,12/13/2017,12/13/2017,,Marina Zenovich,Lance,
159,nm0267287,12/13/2017,12/13/2017,,Coralie Fargeat,Revenge,
160,nm1435438,12/13/2017,12/13/2017,,Augustine Frizzell,Never Goin' Back,7/27/1979
161,nm2125482,12/13/2017,12/13/2017,,Chloé Zhao,The Rider,
162,nm2509638,12/13/2017,12/13/2017,,Rungano Nyoni,Mwansa the Great,
163,nm8201031,12/13/2017,12/13/2017,,Cristina Costantini,Science Fair,
164,nm0853380,12/15/2017,12/15/2017,,Julie Taymor,Frida,12/15/1952
165,nm0000204,12/22/2017,12/22/2017,,Natalie Portman,Black Swan,6/9/1981
166,nm1065229,1/1/2018,1/1/2018,,America Ferrera,The Sisterhood of the Traveling Pants,4/18/1984
167,nm3892615,1/1/2018,1/1/2018,,Laura Mulleavy,Black Swan,
168,nm3894334,1/1/2018,1/1/2018,,Kate Mulleavy,Black Swan,
169,nm1752221,1/10/2018,1/10/2018,,Gina Rodriguez,Deepwater Horizon,7/30/1984
170,nm0743896,2/2/2018,2/2/2018,,Tracee Ellis Ross,Girlfriends,10/29/1972
